,ha_model,scene,degree ,processing,meas_path,target_path,haspi_L,haspi_R,haspi,hasqi_L,hasqi_R,hasqi,sisdr_L,sisdr_R,sisdr,mbstoi
0,si3_s,party,0,bypass,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.42683476309618706,0.5593225636806518,0.5593225636806518,0.12550444850477802,0.13345554067261314,0.13345554067261314,-6.602261266600113,-5.807496672591269,-5.807496672591269,0.44843157681038287
1,si3_s,party,0,ha,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/031_si3_s_enabled_ku100/031_si3_s_enabled_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.4503797446702727,0.5534353444670186,0.5534353444670186,0.12612945304439446,0.13227245396348786,0.13227245396348786,-6.5444099131795355,-5.748996046662019,-5.748996046662019,0.44614845698053246
2,si3_s,party,0,dnn_normal_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m1_alldata_normal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.6361551752645931,0.6501695491118141,0.6501695491118141,0.1738151142933049,0.17425651713449103,0.17425651713449103,-1.8309120844476716,-1.7213441964767475,-1.7213441964767475,0.6385262986606643
3,si3_s,party,0,dnn_normal_causal,/home/ubuntu/Data/ha_listening_situations/processed_m4_alldata_normal_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.6154909000497935,0.6370210682217968,0.6370210682217968,0.1176177130680834,0.13129613091519718,0.13129613091519718,-2.518933217039634,-2.5442720620410237,-2.518933217039634,0.5807464313957295
4,si3_s,party,0,dnn_mild_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.6309508681981656,0.6857851935174772,0.6857851935174772,0.15664025996787306,0.17144115985907282,0.17144115985907282,-2.6054784018211894,-2.0664038965624814,-2.0664038965624814,0.5952738571519888
5,si3_s,party,0,dnn_mild_causal,/home/ubuntu/Data/ha_listening_situations/processed_m5_alldata_mild_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.5935471939711704,0.6429484965693208,0.6429484965693208,0.13915319084607036,0.15011612060604126,0.15011612060604126,-10.035254877945006,-11.27484260424499,-10.035254877945006,0.5087350651481054
6,si3_s,party,30,bypass,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.24728689614210925,0.8826875602261001,0.8826875602261001,0.11678459056658083,0.19675260579870832,0.19675260579870832,-9.466346144144318,-9.204231623680695,-9.204231623680695,0.5552775010834816
7,si3_s,party,30,ha,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/031_si3_s_enabled_ku100/031_si3_s_enabled_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.27745708160543003,0.8786376981508908,0.8786376981508908,0.1166053676849088,0.19564002314555815,0.19564002314555815,-9.509281784033387,-9.421454957187098,-9.421454957187098,0.5562024609904039
8,si3_s,party,30,dnn_normal_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m1_alldata_normal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.6921994631382185,0.8700299656422914,0.8700299656422914,0.1915438142772097,0.258728619724969,0.258728619724969,-1.0065840765787837,-2.925054848446216,-1.0065840765787837,0.7443563144759425
9,si3_s,party,30,dnn_normal_causal,/home/ubuntu/Data/ha_listening_situations/processed_m4_alldata_normal_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.6718029786660705,0.7495922790692927,0.7495922790692927,0.1564734941050137,0.20009281562930073,0.20009281562930073,-2.361324905770666,-3.7668505302933335,-2.361324905770666,0.7196877852068361
