,ha_model,scene,degree ,processing,meas_path,target_path,haspi_L,haspi_R,haspi,hasqi_L,hasqi_R,hasqi,sisdr_L,sisdr_R,sisdr,snrloss_L,snrloss_R,snrloss,mbstoi
0,si3_s,party,0,bypass,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.37132400130726007,0.593604440582921,0.593604440582921,0.12159847837650363,0.13420548926916565,0.13420548926916565,-6.602261266600113,-5.807496672591269,-5.807496672591269,-0.7576818569024141,-0.24020725962364003,-0.24020725962364003,0.44843157681038287
1,si3_s,party,0,ha,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/031_si3_s_enabled_ku100/031_si3_s_enabled_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.4284485438128178,0.5505759288973245,0.5505759288973245,0.12702852176584087,0.1323507274336655,0.1323507274336655,-6.5444099131795355,-5.748996046662019,-5.748996046662019,-0.7440917279374949,-0.21720996796041073,-0.21720996796041073,0.44614845698053246
2,si3_s,party,0,dnn_normal_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m1_alldata_normal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.6464719879931163,0.6714847515055157,0.6714847515055157,0.18137252027621575,0.18517685482163343,0.18517685482163343,-1.8309120844476716,-1.7213441964767475,-1.7213441964767475,1.7073728222093234,0.966845551913932,1.7073728222093234,0.6385262986606643
3,si3_s,party,0,dnn_normal_causal,/home/ubuntu/Data/ha_listening_situations/processed_m4_alldata_normal_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.6187967613753067,0.6325769829077481,0.6325769829077481,0.11922435158805962,0.1348819554145919,0.1348819554145919,-2.518933217039634,-2.5442720620410237,-2.518933217039634,1.384574971019645,0.5472031437520002,1.384574971019645,0.5807464313957295
4,si3_s,party,0,dnn_mild_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.6274206279582393,0.6894848483069957,0.6894848483069957,0.1569480999454929,0.17462974490455563,0.17462974490455563,-2.6054784018211894,-2.0664038965624814,-2.0664038965624814,1.182591899657106,0.9374153997751322,1.182591899657106,0.5952738571519888
5,si3_s,party,0,dnn_mild_causal,/home/ubuntu/Data/ha_listening_situations/processed_m5_alldata_mild_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/party_bin_deg0_snr5_ane_48000hz.wav,0.5837105187741775,0.6337846065527889,0.6337846065527889,0.13860840794402465,0.14903362166349152,0.14903362166349152,-10.035254877945006,-11.27484260424499,-10.035254877945006,-1.282130381750991,-1.8365112624486493,-1.282130381750991,0.5087350651481054
6,si3_s,party,30,bypass,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.26976833572678277,0.8774597151625109,0.8774597151625109,0.11759787863111382,0.20061661351051482,0.20061661351051482,-9.466346144144318,-9.204231623680695,-9.204231623680695,-2.087728887532279,-0.9042272322633789,-0.9042272322633789,0.5552775010834816
7,si3_s,party,30,ha,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/031_si3_s_enabled_ku100/031_si3_s_enabled_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.28916957391463693,0.8766463852894987,0.8766463852894987,0.11692769809002201,0.19930721714622532,0.19930721714622532,-9.509281784033387,-9.421454957187098,-9.421454957187098,-2.1023838732465925,-0.9472512257951842,-0.9472512257951842,0.5562024609904039
8,si3_s,party,30,dnn_normal_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m1_alldata_normal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.697758927134929,0.9187089998246872,0.9187089998246872,0.19365975989177686,0.2751363786028093,0.2751363786028093,-1.0065840765787837,-2.925054848446216,-1.0065840765787837,2.4074777360909345,0.38178780219245034,2.4074777360909345,0.7443563144759425
9,si3_s,party,30,dnn_normal_causal,/home/ubuntu/Data/ha_listening_situations/processed_m4_alldata_normal_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.6839414576738404,0.7999034438771049,0.7999034438771049,0.16074329082681052,0.2137369518558089,0.2137369518558089,-2.361324905770666,-3.7668505302933335,-2.361324905770666,1.5193522451681583,0.15386404262329384,1.5193522451681583,0.7196877852068361
10,si3_s,party,30,dnn_mild_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.6490976346288174,0.9042270987069828,0.9042270987069828,0.15328145700060086,0.25999328809367533,0.25999328809367533,-3.348470782187106,-4.708424776793208,-3.348470782187106,0.8823832446158865,-0.12410386356265403,0.8823832446158865,0.6764011846982511
11,si3_s,party,30,dnn_mild_causal,/home/ubuntu/Data/ha_listening_situations/processed_m5_alldata_mild_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/party_bin_deg30_snr5_ane_48000hz.wav,0.6322740517861875,0.8296873374471773,0.8296873374471773,0.14333879606472696,0.2259688179380269,0.2259688179380269,-9.079588945089531,-11.382192886165116,-9.079588945089531,-1.2115243856692828,-1.7233936058786048,-1.2115243856692828,0.49846734447609387
12,si3_s,restaurant,0,bypass,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/restaurant_bin_deg0_snr5_ane_48000hz.wav,0.4602219824471129,0.6288212361921316,0.6288212361921316,0.1335068185419232,0.1413817663131857,0.1413817663131857,-6.337108661859801,-5.552097125228982,-5.552097125228982,-0.675985023731521,-0.15463652314522774,-0.15463652314522774,0.4648225197699922
13,si3_s,restaurant,0,ha,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/031_si3_s_enabled_ku100/031_si3_s_enabled_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/restaurant_bin_deg0_snr5_ane_48000hz.wav,0.4881709280954018,0.6507615024262174,0.6507615024262174,0.13467266258264302,0.14089425267382844,0.14089425267382844,-6.339033576384559,-5.586810877584979,-5.586810877584979,-0.6817543932950049,-0.16181892974646717,-0.16181892974646717,0.4645457621883862
14,si3_s,restaurant,0,dnn_normal_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m1_alldata_normal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/restaurant_bin_deg0_snr5_ane_48000hz.wav,0.7180623848774675,0.7244612131202542,0.7244612131202542,0.19075709751174638,0.19439808966857539,0.19439808966857539,-1.4271702471511203,-1.244523687952132,-1.244523687952132,1.9156768066968382,1.2163816485900996,1.9156768066968382,0.6610203727423782
15,si3_s,restaurant,0,dnn_normal_causal,/home/ubuntu/Data/ha_listening_situations/processed_m4_alldata_normal_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/restaurant_bin_deg0_snr5_ane_48000hz.wav,0.6649422269126881,0.7206352134386191,0.7206352134386191,0.12296925171895084,0.13815270315068492,0.13815270315068492,-2.699705361084781,-2.674791960359539,-2.674791960359539,1.2941430854168074,0.4918631195410901,1.2941430854168074,0.580655196966251
16,si3_s,restaurant,0,dnn_mild_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/restaurant_bin_deg0_snr5_ane_48000hz.wav,0.6845218572458014,0.7374207205082451,0.7374207205082451,0.1842803239667803,0.1922395184985721,0.1922395184985721,-2.358899287135774,-1.8342347216330877,-1.8342347216330877,1.298614610096319,1.05647672303041,1.298614610096319,0.6014515728925397
17,si3_s,restaurant,0,dnn_mild_causal,/home/ubuntu/Data/ha_listening_situations/processed_m5_alldata_mild_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-0deg/restaurant_bin_deg0_snr5_ane_48000hz.wav,0.6452648083976896,0.6779758660619125,0.6779758660619125,0.15434073063301595,0.161330996127072,0.161330996127072,-9.75418812844214,-11.077213850140186,-9.75418812844214,-1.2283158992817225,-1.8014956639245412,-1.2283158992817225,0.4938803214487915
18,si3_s,restaurant,30,bypass,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/restaurant_bin_deg30_snr5_ane_48000hz.wav,0.3362359898495435,0.9384352069360664,0.9384352069360664,0.1173551831913855,0.20292000653815928,0.20292000653815928,-9.181317113359432,-8.9907686054001,-8.9907686054001,-2.02612229305681,-0.8596091651636071,-0.8596091651636071,0.5648622829056564
19,si3_s,restaurant,30,ha,/home/ubuntu/Data/ha_listening_situations/recordings/ku_recordings/031_si3_s_enabled_ku100/031_si3_s_enabled_ku100_plus_restaurant_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/restaurant_bin_deg30_snr5_ane_48000hz.wav,0.3485914477634223,0.9283587274562805,0.9283587274562805,0.11694109737211969,0.2008745488491856,0.2008745488491856,-9.133817686979889,-9.005665044334814,-9.005665044334814,-2.007991369013596,-0.867261601257585,-0.867261601257585,0.567980602450918
20,si3_s,restaurant,30,dnn_normal_noncausal,/home/ubuntu/Data/ha_listening_situations/processed_m1_alldata_normal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/restaurant_bin_deg30_snr5_ane_48000hz.wav,0.7170889247670496,0.9309499109373228,0.9309499109373228,0.19431554559831452,0.26220280087477216,0.26220280087477216,-0.3245458095094482,-2.8206683854224512,-0.3245458095094482,2.77842627691824,0.4187054525491999,2.77842627691824,0.7611833437516804
21,si3_s,restaurant,30,dnn_normal_causal,/home/ubuntu/Data/ha_listening_situations/processed_m4_alldata_normal_causal/ku_processed/030_si3_s_bypass_ku100/030_si3_s_bypass_ku100_plus_restaurant_30deg.wav,/home/ubuntu/Data/ha_listening_situations/SH_versions/normal/sharvard-target1-30deg/restaurant_bin_deg30_snr5_ane_48000hz.wav,0.7213969446620752,0.8661168435475032,0.8661168435475032,0.1521047197372362,0.1993354629007341,0.1993354629007341,-1.9974712966981785,-3.7169085730391913,-1.9974712966981785,1.7122262454388035,0.16638153560102076,1.7122262454388035,0.7225149516233983
